0	-0.20000	-0.08000	0.07000	0.23000	0.08000
1	-0.19841	-0.08000	0.07000	0.23000	0.08000
2	-0.19364	-0.08000	0.07000	0.23000	0.08000
3	-0.18510	-0.12000	0.03000	0.27000	0.12000
4	-0.17264	-0.08000	0.07000	0.23000	0.08000
5	-0.15685	-0.08000	0.07000	0.23000	0.08000
6	-0.13817	-0.04000	0.11000	0.19000	0.04000
7	-0.11723	-0.04000	0.11000	0.19000	0.04000
8	-0.09444	0.00000	0.15000	0.15000	0.00000
9	-0.07028	0.00000	0.15000	0.15000	0.00000
10	-0.04503	0.04000	0.19000	0.11000	-0.04000
11	-0.01903	0.08000	0.23000	0.07000	-0.08000
12	0.00740	0.08000	0.23000	0.07000	-0.08000
13	0.03430	0.12000	0.27000	0.03000	-0.12000
14	0.06130	0.20000	0.35000	-0.05000	-0.20000
15	0.08820	0.16000	0.31000	-0.01000	-0.16000
16	0.11510	0.20000	0.35000	-0.05000	-0.20000
17	0.14180	0.20000	0.35000	-0.05000	-0.20000
18	0.16850	0.08000	0.23000	0.07000	-0.08000
19	0.19530	0.24000	0.39000	-0.09000	-0.24000
20	0.22170	0.24000	0.39000	-0.09000	-0.24000
21	0.24790	0.24000	0.39000	-0.09000	-0.24000
22	0.27370	-nan	0.39000	-0.09000	-nan
23	0.29920	-nan	0.39000	-0.09000	-nan
24	0.32450	-nan	0.39000	-0.09000	-nan
25	0.34940	-nan	0.39000	-0.09000	-nan
26	0.37410	-nan	0.39000	-0.09000	-nan
27	0.39840	-nan	0.39000	-0.09000	-nan
28	0.42250	-nan	0.39000	-0.09000	-nan
29	0.44620	-nan	0.39000	-0.09000	-nan
30	0.46950	0.24000	0.39000	-0.09000	-nan
31	0.49260	-0.16000	0.39000	-0.09000	-nan
32	0.51530	-nan	0.39000	-0.09000	-nan
33	0.53760	-nan	0.39000	-0.09000	-nan
34	0.55970	-nan	0.39000	-0.09000	-nan
35	0.58130	-nan	0.39000	-0.09000	-nan
36	0.60270	-nan	0.39000	-0.09000	-nan
37	0.62360	-nan	0.39000	-0.09000	-nan
38	0.64430	-nan	0.39000	-0.09000	-nan
39	0.66460	-nan	0.39000	-0.09000	-nan
40	0.68450	-nan	0.39000	-0.09000	-nan
41	0.70410	-0.08000	0.39000	-0.09000	-nan
42	0.72330	-nan	0.39000	-0.09000	-nan
43	0.74220	-nan	0.39000	-0.09000	-nan
44	0.76070	-nan	0.39000	-0.09000	-nan
45	0.77890	-nan	0.39000	-0.09000	-nan
46	0.79670	-nan	0.39000	-0.09000	-nan
47	0.81410	-nan	0.39000	-0.09000	-nan
48	0.83130	-nan	0.39000	-0.09000	-nan
49	0.84800	0.24000	0.39000	-0.09000	-nan
50	0.86440	-nan	0.39000	-0.09000	-nan
51	0.88050	-nan	0.39000	-0.09000	-nan
52	0.89620	-nan	0.39000	-0.09000	-nan
53	0.91150	-nan	0.39000	-0.09000	-nan
54	0.92650	-nan	0.39000	-0.09000	-nan
55	0.94120	-nan	0.39000	-0.09000	-nan
56	0.95550	-nan	0.39000	-0.09000	-nan
57	0.96940	-nan	0.39000	-0.09000	-nan
58	0.98300	-nan	0.39000	-0.09000	-nan
59	0.99620	-nan	0.39000	-0.09000	-nan
60	1.00910	-nan	0.39000	-0.09000	-nan
61	1.02160	-nan	0.39000	-0.09000	-nan
62	1.03380	-nan	0.39000	-0.09000	-nan
63	1.04560	-nan	0.39000	-0.09000	-nan
64	1.05710	-nan	0.39000	-0.09000	-nan
65	1.06820	-nan	0.39000	-0.09000	-nan
66	1.07900	-nan	0.39000	-0.09000	-nan
67	1.08940	-nan	0.39000	-0.09000	-nan
68	1.09940	-nan	0.39000	-0.09000	-nan
69	1.10910	-nan	0.39000	-0.09000	-nan
70	1.11840	0.08000	0.39000	-0.09000	-nan
71	1.12740	-nan	0.39000	-0.09000	-nan
72	1.13610	-nan	0.39000	-0.09000	-nan
73	1.14440	-nan	0.39000	-0.09000	-nan
74	1.15230	-nan	0.39000	-0.09000	-nan
75	1.15980	0.00000	0.39000	-0.09000	-nan
76	1.16710	-nan	0.39000	-0.09000	-nan
77	1.17390	-0.02667	0.39000	-0.09000	-nan
78	1.18040	-nan	0.39000	-0.09000	-nan
79	1.18660	-nan	0.39000	-0.09000	-nan
80	1.19240	-nan	0.39000	-0.09000	-nan
81	1.19780	-nan	0.39000	-0.09000	-nan
82	1.20290	-nan	0.39000	-0.09000	-nan
83	1.20770	-nan	0.39000	-0.09000	-nan
84	1.21210	-nan	0.39000	-0.09000	-nan
85	1.21610	-nan	0.39000	-0.09000	-nan
86	1.21980	0.24000	0.39000	-0.09000	-nan
87	1.22310	-nan	0.39000	-0.09000	-nan
88	1.22600	-nan	0.39000	-0.09000	-nan
89	1.22860	-nan	0.39000	-0.09000	-nan
90	1.23090	-nan	0.39000	-0.09000	-nan
91	1.23280	-nan	0.39000	-0.09000	-nan
92	1.23430	-nan	0.39000	-0.09000	-nan
93	1.23550	-nan	0.39000	-0.09000	-nan
94	1.23640	-nan	0.39000	-0.09000	-nan
95	1.23690	-nan	0.39000	-0.09000	-nan
96	1.23700	-nan	0.39000	-0.09000	-nan
97	1.23680	-nan	0.39000	-0.09000	-nan
98	1.23620	-nan	0.39000	-0.09000	-nan
99	1.23520	-nan	0.39000	-0.09000	-nan
100	1.23390	-nan	0.39000	-0.09000	-nan
101	1.23230	-nan	0.39000	-0.09000	-nan
102	1.23030	-nan	0.39000	-0.09000	-nan
103	1.22790	-nan	0.39000	-0.09000	-nan
104	1.22520	-nan	0.39000	-0.09000	-nan
105	1.22220	-nan	0.39000	-0.09000	-nan
106	1.21870	-nan	0.39000	-0.09000	-nan
107	1.21500	-nan	0.39000	-0.09000	-nan
108	1.21080	-nan	0.39000	-0.09000	-nan
109	1.20640	-nan	0.39000	-0.09000	-nan
110	1.20150	-nan	0.39000	-0.09000	-nan
111	1.19630	-nan	0.39000	-0.09000	-nan
112	1.19080	-nan	0.39000	-0.09000	-nan
113	1.18490	-nan	0.39000	-0.09000	-nan
114	1.17860	-nan	0.39000	-0.09000	-nan
115	1.17200	-nan	0.39000	-0.09000	-nan
116	1.16510	-nan	0.39000	-0.09000	-nan
117	1.15770	-nan	0.39000	-0.09000	-nan
118	1.15010	-nan	0.39000	-0.09000	-nan
119	1.14200	-nan	0.39000	-0.09000	-nan
120	1.13370	-nan	0.39000	-0.09000	-nan
121	1.12490	-nan	0.39000	-0.09000	-nan
122	1.11580	-nan	0.39000	-0.09000	-nan
123	1.10640	-nan	0.39000	-0.09000	-nan
124	1.09660	-nan	0.39000	-0.09000	-nan
125	1.08640	-nan	0.39000	-0.09000	-nan
126	1.07590	-nan	0.39000	-0.09000	-nan
127	1.06510	-nan	0.39000	-0.09000	-nan
128	1.05390	-nan	0.39000	-0.09000	-nan
129	1.04230	-nan	0.39000	-0.09000	-nan
130	1.03040	-nan	0.39000	-0.09000	-nan
131	1.01810	-nan	0.39000	-0.09000	-nan
132	1.00550	-nan	0.39000	-0.09000	-nan
133	0.99250	-nan	0.39000	-0.09000	-nan
134	0.97920	-nan	0.39000	-0.09000	-nan
135	0.96550	-nan	0.39000	-0.09000	-nan
136	0.95150	-nan	0.39000	-0.09000	-nan
137	0.93710	-nan	0.39000	-0.09000	-nan
138	0.92230	-nan	0.39000	-0.09000	-nan
139	0.90720	-nan	0.39000	-0.09000	-nan
140	0.89180	-nan	0.39000	-0.09000	-nan
141	0.87600	-nan	0.39000	-0.09000	-nan
142	0.85980	-nan	0.39000	-0.09000	-nan
143	0.84330	-nan	0.39000	-0.09000	-nan
144	0.82640	-nan	0.39000	-0.09000	-nan
145	0.80920	-nan	0.39000	-0.09000	-nan
146	0.79170	-nan	0.39000	-0.09000	-nan
147	0.77370	-nan	0.39000	-0.09000	-nan
148	0.75550	-nan	0.39000	-0.09000	-nan
149	0.73690	-0.08000	0.39000	-0.09000	-nan
150	0.71790	-0.04000	0.39000	-0.09000	-nan
151	0.69860	-nan	0.39000	-0.09000	-nan
152	0.67890	0.24000	0.39000	-0.09000	-nan
153	0.65880	-nan	0.39000	-0.09000	-nan
154	0.63850	-nan	0.39000	-0.09000	-nan
155	0.61770	-nan	0.39000	-0.09000	-nan
156	0.59670	-nan	0.39000	-0.09000	-nan
157	0.57520	0.24000	0.39000	-0.09000	-nan
158	0.55340	-nan	0.39000	-0.09000	-nan
159	0.53130	-nan	0.39000	-0.09000	-nan
160	0.50880	-nan	0.39000	-0.09000	-nan
161	0.48600	-nan	0.39000	-0.09000	-nan
162	0.46280	-nan	0.39000	-0.09000	-nan
163	0.43930	-nan	0.39000	-0.09000	-nan
164	0.41540	-nan	0.39000	-0.09000	-nan
165	0.39110	0.24000	0.39000	-0.09000	-nan
166	0.36650	0.24000	0.39000	-0.09000	-nan
167	0.34160	0.24000	0.39000	-0.09000	-nan
168	0.31630	0.20000	0.39000	-0.09000	-nan
169	0.29070	0.20000	0.39000	-0.09000	-nan
170	0.26470	0.20000	0.39000	-0.09000	-nan
171	0.23840	0.16000	0.39000	-0.09000	-nan
172	0.21170	0.12000	0.39000	-0.09000	-nan
173	0.18460	0.12000	0.39000	-0.09000	-nan
174	0.15730	0.08000	0.39000	-0.09000	-nan
175	0.12950	0.04000	0.39000	-0.09000	-nan
176	0.10140	0.05333	0.39000	-0.09000	-nan
177	0.07300	0.00000	0.39000	-0.09000	-nan
178	0.04420	-0.04000	0.39000	-0.09000	-nan
179	0.01510	-0.12000	0.39000	-0.09000	-nan
180	-0.01436	-0.12000	0.39000	-0.09000	-nan
181	-0.04417	-0.02667	0.39000	-0.09000	-nan
182	-0.07434	-0.16000	0.39000	-0.09000	-nan
